2013-09	міністра закордонних справ Майко Віктор Анатолійович
2013-09	міністра Кабінету Міністрів Забарський
2013-09	міністра культури Леоніда Михайловича Новохатька
2013-09	Міністра культури України Леоніда Новохатька
2013-09	міністра Миколи Яновича Азарова
2013-09	міністра оброни Павла Валентиновича Лебедєва
2013-09	міністра Олександра Юрійовича Вілкула
2013-09	міністративний суд Шидловський Віктор Броніславович
2013-09	міністративних судах України та у Комітеті Верховної Ради
2013-09	міністративного Іванову Сергію Миколайовичу
2013-09	міністративного Крапівницьку Наталю Леонідівну
2013-09	міністративного суду Андрусенко Оксану Орестівну
2013-09	міністративного суду Аракелян Марію Мінасівну
2013-09	міністративного суду Бабаш Ганну Петрівну
2013-09	міністративного суду Бадахову Тамару Панасівну
2013-09	міністративного суду Балан Ярославу Володимирівну
2013-09	міністративного суду Брезіну Тетяну Миколаївну
2013-09	міністративного суду Валюха Віктора Миколайовича
2013-09	міністративного суду Волкова Андрія Станіславовича
2013-09	міністративного суду Гавдика Зіновія Володимировича
2013-09	міністративного суду Гараня Сергія Миколайовича
2013-09	міністративного суду Гулкевич Ірену Зіновіївну
2013-09	міністративного суду Дерех Надію Володимирівну
2013-09	міністративного суду Дончика Віталія Володимировича
2013-09	міністративного суду Єфанову Ольгу Володимирівну
2013-09	міністративного суду Жуковську Людмилу Аркадіївну
2013-09	міністративного суду Загороднюка Андрія Григоровича
2013-09	міністративного суду Іванова Сергія Миколайовича
2013-09	міністративного суду Капинос Оксану Валентинівну
2013-09	міністративного суду Кисильову Ольгу Йосипівну
2013-09	міністративного суду Крапівницьку Наталю Леонідівну
2013-09	міністративного суду Крилову Марину Миколаївну
2013-09	міністративного суду Кухар Марину Дмитрівну
2013-09	міністративного суду Кухтея Руслана Віталійовича
2013-09	міністративного суду Лозовського Олександра Анатолійовича
2013-09	міністративного суду Лучко Оксану Олександрівну
2013-09	міністративного суду Марина Петра Петровича
2013-09	міністративного суду Мєзєнцева Євгена Ігоровича
2013-09	міністративного суду міста Києва Кузьменка Валерія
2013-09	міністративного суду міста Києва Юлии Шрамко
2013-09	міністративного суду міста Києва Юлією Шрамко
2013-09	міністративного суду міста Севастополя Водяхіна Сергія
2013-09	міністративного суду міста Севастополя Кравченка Михайла
2013-09	міністративного суду Панову Ганну Валеріївну
2013-09	міністративного суду Панченко Ольгу Володимирівну
2013-09	міністративного суду Потоцьку Нінель Володимирівну
2013-09	міністративного суду Романченка Євгена Юрійовича
2013-09	міністративного суду Смірнову Ольгу Євгеніївну
2013-09	міністративного суду Соломко Ірину Іванівну
2013-09	міністративного суду Токареву Марію Сергіївну
2013-09	міністративного суду України Бим Магдалину
2013-09	міністративного суду України Винокурова Костянтина
2013-09	міністративного суду України Гордійчук Марію
2013-09	міністративного суду України Єрьоміна Анатолія
2013-09	міністративного суду Федорову Галину Григорівну
2013-09	міністративного суду Черноліхова Сергія Вікторовича
2013-09	міністративного суду Шидловського Віктора Броніславовича
2013-09	міністра України Миколи Азарова
2013-09	міністра України Миколи Яновича
2013-09	міністра України Олександра Вілкула
2013-09	міністра фінансів Анатолію Івановичу Мярковському
2013-09	міністра фінансів Мярковський Анатолій Іванович
2013-09	міністра юстиції Ємельянова Інна Іванівна
2013-09	міністра юстиції – Олену Леонідівну Лукаш
2013-09	міністр Великобританії Вінстон Черчилль
2013-09	Міністр внутрішніх справ Віталій Юрійович Захарченко
2013-09	міністр доходів і зборів Клименко Олександр Вікторович
2013-09	Міністр доходів і зборів Олександр Вікторович Клименко
2013-09	Міністр закордонних справ Кожара Леонід Олександрович
2013-09	міністрів Автономної Республіки Крим
2013-09	Міністрів Автономної Республіки Крим
2013-09	Міністрів - Забарський Владислав Валерійович
2013-09	Міністрів, Конституційного Суду України
2013-09	міністрів та прийнятий Верховною Радою України
2013-09	Міністрів України Постанови Верховної
2013-09	Міністр інфраструктури Козак Володимир Васильович
2013-09	міністр культури Леонід Михайлович Новохатько
2013-09	міністр культури Новохатько Леонід Михайлович
2013-09	Міністр культури Новохатько Леонід Михайлович
2013-09	міністр Максюта Анатолій Аркадійович
2013-09	міністр молоді та спорту Сафіуллін Равіль Сафович
2013-09	міністр оборони Лебедєв Павло Валентинович
2013-09	міністр оборони Лебєдєв Павло Валентинович
