checkIDs	PersonID	OrgID	EventID	From	To	Role	Acting	RoleName_en	RoleName_uk
 	ЛеонідМихайловичНовохатько.1954	GOV.UA	GOV.UA.2ndAzarov	2013-02-05	2014-02-24	minister		Minister of Culture	Міністр культури України
 	ЛеонідМихайловичНовохатько.1954	pp.Reg		2012		head		Head of the Kyiv city organization of the Party of Regions	Голова Київської міської організації Партії регіонів
 	РавільСафовичСафіуллін.1955	GOV.UA	GOV.UA.2ndAzarov	2013-02-28	2014-02-27	minister		Minister of Youth and Sports	Міністр молоді та спорту України
 	РавільСафовичСафіуллін.1955	pp.Reg		2002		member			
 	РавільСафовичСафіуллін.1955	pp.Reg				deputyHead		member of the Political Council of the Party of Regions	член Політради Партії регіонів
 	ПавлоВалентиновичЛебедєв.1962	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-27	minister		Minister of Defense	Міністр оборони України
 	ПавлоВалентиновичЛебедєв.1962	pp.Reg		2007		nominated			
 	ДмитроВолодимировичТабачник.1963	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-23	minister		Minister of Education	Міністр освіти і науки України
 	ДмитроВолодимировичТабачник.1963	pp.Reg		2007		member			
 	РаїсаВасилівнаБогатирьова.1953	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-23	minister		Minister of Healthcare	Міністр охорони здоров'я України
 	РаїсаВасилівнаБогатирьова.1953	pp.Reg		2006		member			
 	МихайлоКостянтиновичКороленко.1962	GOV.UA	GOV.UA.2ndAzarov	2013-02-05	2014-02-27	minister		Minister of the Industrial Policy	Міністр промислової політики України
 	МихайлоКостянтиновичКороленко.1962	pp.Reg		2010		member			
 	ГеннадійПавловичТемник.1970	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-27	minister		Minister of Regional Development, Construction and Communal Living	Міністр регіонального розвитку, будівництва та житлово-комунального господарства України
 	ГеннадійПавловичТемник.1970	pp.Reg		2010		member			
 	ГеннадійПавловичТемник.1970	pp.OB		2015		member			
