who	role	lang	cnt
БАЛАН М.І.	#regular	uk	9
БАЛАНДІН С.В.	#regular	ru	1
БАЛАНДІН С.В.	#regular	uk	8
БАЛАЦ С.В.	#regular	uk	2
БАЛИЦЬКИЙ Є.В.	#regular	ru	70
БАЛИЦЬКИЙ Є.В.	#regular	uk	12
БАЛОГА В.І.	#regular	uk	4
БАНДУРОВ В.В.	#regular	ru	10
БАНДУРОВ В.В.	#regular	uk	38
БАНЧУК О.А.	#regular	uk	59
БАРАНОВ В.О.	#regular	ru	7
БАРАНОВ В.О.	#regular	uk	72
БАРАШ М.Я.	#regular	uk	3
БАРВІНЕНКО В.Д.	#regular	uk	6
БАРДІНА М.О.	#regular	be	1
БАРДІНА М.О.	#regular	ru	1
БАРДІНА М.О.	#regular	uk	101
БАРНА О.С.	#regular	be	1
БАРНА О.С.	#regular	ru	4
БАРНА О.С.	#regular	uk	764
БАРНА С.С.	#regular	uk	33
БАСАЛАЄВА А.В.	#regular	uk	2
БАТЕНКО Т.І.	#regular	ru	5
БАТЕНКО Т.І.	#regular	uk	1899
БАТЕНКО Т.І.	#regular	un	10
БАУЛІН Ю.В.	#regular	uk	5
БАХТЕЄВА Т.Д.	#regular	ru	34
БАХТЕЄВА Т.Д.	#regular	uk	116
БЕЗБАХ Я.Я.	#regular	ru	56
БЕЗБАХ Я.Я.	#regular	uk	28
БЕЗГІН В.Ю.	#regular	uk	230
БЕЗУГЛА М.В.	#regular	uk	215
БЕЛЕНЮК Ж.В.	#regular	uk	51
БЕНДЮЖЕНКО Ф.В.	#regular	uk	1
БЕНЕДИСЮК І.М.	#regular	uk	41
БЕНЮК Б.М.	#regular	uk	96
БЕРЕЖНА І.Г.	#regular	uk	18
БЕРЕЖНА И.Г.	#regular	uk	2
БЕРЕЖНА Т.В.	#regular	uk	4
БЕРЕЗІН М.Ю.	#regular	uk	17
БЕРЕЗА Б.Ю.	#regular	ru	18
БЕРЕЗА Б.Ю.	#regular	uk	587
БЕРЕЗА Ю.М.	#regular	bg	1
БЕРЕЗА Ю.М.	#regular	ru	1
БЕРЕЗА Ю.М.	#regular	uk	297
БЕРЕЗЕНКО С.І.	#regular	uk	90
БЕРЕЗКІН С.С.	#regular	ru	1
БЕРЕЗКІН С.С.	#regular	uk	14
БЕРЕЗЮК К.Г.	#regular	uk	3
БЕРЕЗЮК О.Р.	#regular	be	2
БЕРЕЗЮК О.Р.	#regular	ru	2
БЕРЕЗЮК О.Р.	#regular	uk	1235
БЕРЕЗЮК Р.	#regular	uk	1
БЕРНАЦЬКА Н.І.	#regular	uk	14
БЛАВАЦЬКИЙ М.В.	#regular	uk	76
БЛАГОДИР Ю.А.	#regular	ru	1
БЛАГОДИР Ю.А.	#regular	uk	15
БЛИЗНЮК А.М.	#regular	uk	13
БЛИЗНЮК М.Д.	#regular	uk	15
БОБАР І.М.	#regular	uk	2
БОБКОВ О.М.	#regular	uk	6
БОБЛЯХ А.Р.	#regular	uk	14
БОБОВ Г.Б.	#regular	uk	1
БОБРОВСЬКА С.А.	#regular	ru	1
БОБРОВСЬКА С.А.	#regular	uk	765
БОБРОВСЬКА С.А.	#regular	un	1
БОГАТИРЬОВА Р.В.	#regular	uk	38
БОГАЧЕВ Р.М.	#regular	uk	8
БОГДАН Р.Д.	#regular	uk	21
БОГДАНЕЦЬ А.В.	#regular	uk	25
БОГОВСЛОВСЬКА І.Г.	#regular	ru	4
БОГОМОЛЕЦЬ О.В.	#regular	ru	3
БОГОМОЛЕЦЬ О.В.	#regular	uk	548
БОГОСЛОВСЬКА І.Г.	#regular	ru	15
БОГОСЛОВСЬКА І.Г.	#regular	uk	171
БОГУЦЬКА Є.П.	#regular	uk	13
БОДНАР В.М.	#regular	uk	83
БОДНАР-ПЕТРОВСЬКА О.Б.	#regular	uk	22
БОЖИК В.І.	#regular	uk	73
БОЖКОВ О.В.	#regular	uk	6
БОЖОК Є.В.	#regular	uk	6
БОЙКО А.М.	#regular	uk	2
БОЙКО В.	#regular	uk	1
БОЙКО В.Б.	#regular	uk	3
БОЙКО О.П.	#regular	ru	1
БОЙКО О.П.	#regular	uk	433
БОЙКО О.П.	#regular	un	1
БОЙКО Ю.А.	#regular	be	1
БОЙКО Ю.А.	#regular	uk	707
БОЙКО Ю.М.	#regular	uk	4
БОЛОТСЬКИХ М.В.	#regular	uk	46
БОНДАР Б.В.	#regular	uk	25
БОНДАР В.В.	#regular	ru	1
БОНДАР В.В.	#regular	uk	1302
БОНДАР Г.В.	#regular	ru	1
БОНДАР Г.В.	#regular	uk	49
БОНДАР М.Л.	#regular	ru	11
БОНДАР М.Л.	#regular	uk	898
БОНДАР О.М.	#regular	uk	8
БОНДАР С.В.	#regular	uk	1
БОНДАРЄВ К.А.	#regular	ru	3
БОНДАРЄВ К.А.	#regular	uk	217
БОНДАРЕНКО А.Є.	#regular	be	1
БОНДАРЕНКО А.Є.	#regular	uk	4
БОНДАРЕНКО В.Д.	#regular	ru	1
БОНДАРЕНКО В.Д.	#regular	uk	208
БОНДАРЕНКО О.А.	#regular	ru	31
БОНДАРЕНКО О.В.	#regular	ru	1
БОНДАРЕНКО О.В.	#regular	sr	1
БОНДАРЕНКО О.В.	#regular	uk	133
БОНДАРЧУК І.В.	#regular	uk	26
БОНДАРЧУК О.В.	#regular	uk	61
БОРДЮГ І.Л.	#regular	uk	2
БОРЗОВА І.Н.	#regular	uk	45
БОРИС ДЖОНСОН	#regular	uk	15
БОРИТА О.В.	#regular	uk	52
БОРТ В.П.	#regular	uk	1
БОРУХОВСЬКИЙ Б.В.	#regular	uk	7
БОЧКОВСЬКИЙ С.С.	#regular	uk	6
БОЯРСЬКИЙ Ю.І.	#regular	uk	8
БОЯРЧУК О.Б.	#regular	uk	1
БРАГАР Є.В.	#regular	ru	2
БРАГАР Є.В.	#regular	uk	80
БРАЙКО С.Б.	#regular	ru	10
БРАЙКО С.Б.	#regular	uk	2
БРАЦЮНЬ І.О.	#regular	uk	4
БРЕНЗОВИЧ В.І.	#regular	uk	101
БРИГИНЕЦЬ О.М.	#regular	uk	64
БРИЧЕНКО І.В.	#regular	uk	20
БРОВЧЕНКО Ю.П.	#regular	uk	9
БРОДСЬКИЙ М.Ю.	#regular	uk	3
БРУСИЛО І.М.	#regular	uk	31
БУБЛИК Ю.В.	#regular	ru	1
БУБЛИК Ю.В.	#regular	uk	96
БУГЛАК Ю.О.	#regular	bg	1
БУГЛАК Ю.О.	#regular	ru	1
БУГЛАК Ю.О.	#regular	uk	85
БУЖАНСЬКИЙ М.А.	#regular	ru	2
БУЖАНСЬКИЙ М.А.	#regular	uk	217
БУЙМІСТЕР Л.А.	#regular	uk	48
БУЛАХ В.В.	#regular	uk	14
БУЛАХ Л.В.	#regular	uk	51
БУНІН С.В.	#regular	uk	12
БУРАН О.М.	#regular	ru	4
БУРАН О.М.	#regular	uk	2
БУРБАК М.Ю.	#regular	ru	3
БУРБАК М.Ю.	#regular	uk	2314
БУРМІЧ А.П.	#regular	ru	2
БУРМІЧ А.П.	#regular	uk	398
БУРМІЧ А.П.	#regular	un	2
БУТКІВСЬКИЙ В.В.	#regular	ru	1
БУТКІВСЬКИЙ В.В.	#regular	uk	23
БУТКЕВИЧ В.Г.	#regular	ru	1
БУТКЕВИЧ В.Г.	#regular	uk	27
БУХОВЕЦЬ О.Ю.	#regular	uk	13
БУЦА Б.Е.	#regular	uk	7
БУЦА Ю.Б.	#regular	uk	25
ВІЗІРОВ Б.Й.	#regular	uk	14
ВІЛКУЛ О.Ю.	#regular	ru	211
ВІЛКУЛ О.Ю.	#regular	uk	515
ВІННИК І.Ю.	#regular	bg	1
ВІННИК І.Ю.	#regular	ru	14
ВІННИК І.Ю.	#regular	uk	1483
ВІНТОНЯК О.В.	#regular	uk	21
ВІРАСТЮК В.Я.	#regular	uk	2
ВІТІВ А.М.	#regular	uk	37
ВІТКО А.Л.	#regular	ru	7
ВІТКО А.Л.	#regular	uk	11
ВІТРЕНКО А.О.	#regular	uk	6
ВІТРЕНКО Ю.Ю.	#regular	uk	40
ВАДАТУРСЬКИЙ А.О.	#regular	uk	110
ВАКАРАШ В.М.	#regular	uk	4
ВАКАРЧУК С.І.	#regular	uk	122
ВАЛЕНТИРОВ С.В.	#regular	uk	1
ВАНАТ П.М.	#regular	ru	1
ВАНАТ П.М.	#regular	uk	14
ВАНЗУРЯК Р.С.	#regular	ru	1
ВАНЗУРЯК Р.С.	#regular	uk	4
ВАСИЛІВ І.В.	#regular	uk	16
ВАСИЛЕВСЬКА-СМАГЛЮК О.М.	#regular	ru	1
ВАСИЛЕВСЬКА-СМАГЛЮК О.М.	#regular	uk	218
ВАСИЛЕНКО В.А.	#regular	uk	19
ВАСИЛЕНКО Л.В.	#regular	ru	2
ВАСИЛЕНКО Л.В.	#regular	uk	144
ВАСИЛЬЄВ І.С.	#regular	uk	14
ВАСИЛЬЄВ Г.А.	#regular	uk	10
ВАСИЛЬЧЕНКО Г.І.	#regular	ru	3
ВАСИЛЬЧЕНКО Г.І.	#regular	uk	352
ВАСИЛЬЧЕНКО Г.І.	#regular	un	2
ВАСЮК О.О.	#regular	uk	2
ВАСЮНИК І.В.	#regular	uk	197
ВАТРАС В.А.	#regular	uk	20
ВАЦАК Г.А.	#regular	uk	19
ВАЩЕНКО К.О.	#regular	uk	27
ВАЩУК К.С.	#regular	uk	3
ВАЩУК К.Т.	#regular	ru	1
ВАЩУК К.Т.	#regular	uk	96
ВЕЛІКІН О.М.	#regular	uk	3
ВЕЛИЧКОВИЧ М.Р.	#regular	uk	359
ВЕЛЬМОЖНИЙ С.А.	#regular	be	2
ВЕЛЬМОЖНИЙ С.А.	#regular	bg	1
ВЕЛЬМОЖНИЙ С.А.	#regular	ru	6
ВЕЛЬМОЖНИЙ С.А.	#regular	uk	325
ВЕЛЬМОЖНИЙ С.А.	#regular	un	1
ВЕНІСЛАВСКИЙ Ф.В.	#regular	uk	2
ВЕНІСЛАВСЬКИЙ Ф.В.	#regular	uk	750
ВЕНЕДІКТОВА І.В.	#regular	uk	412
ВЕРБЕНСЬКИЙ М.Г.	#regular	uk	1
ВЕРЕМІЙ І.Г.	#regular	uk	2
ВЕРЕЩУК І.А.	#regular	uk	104
ВЕРЛАНОВ С.О.	#regular	uk	8
ВЕРСТЮК В.Ф.	#regular	uk	18
ВЕСЕЛОВА Н.В.	#regular	ru	2
ВЕСЕЛОВА Н.В.	#regular	uk	113
ВЕЧЕРКО В.М.	#regular	ru	7
ВЕЧЕРКО В.М.	#regular	uk	38
ВИНОКУРОВ С.М.	#regular	uk	1
ВИСОЦЬКИЙ С.В.	#regular	ru	7
ВИСОЦЬКИЙ С.В.	#regular	uk	90
ВИСОЦЬКИЙ Т.М.	#regular	ru	1
ВИСОЦЬКИЙ Т.М.	#regular	uk	36
ВЛАСЕНКО С.В.	#regular	bg	4
ВЛАСЕНКО С.В.	#regular	mk	1
ВЛАСЕНКО С.В.	#regular	ru	14
ВЛАСЕНКО С.В.	#regular	sr	1
ВЛАСЕНКО С.В.	#regular	uk	3399
ВЛАСЕНКО С.В.	#regular	un	2
ВЛАСЕНКО Ю.М.	#regular	uk	17
ВОВК В.І.	#regular	mk	1
ВОВК В.І.	#regular	uk	241
ВОВК Д.В.	#regular	uk	120
ВОЗНЮК Ю.В.	#regular	uk	67
ВОЙТОВИЧ Я.В.	#regular	uk	5
ВОЙЦІЦЬКА В.М.	#regular	ru	1
ВОЙЦІЦЬКА В.М.	#regular	uk	318
ВОЙЦЕХІВСЬКИЙ В.О.	#regular	uk	5
ВОЙЦЕХОВСЬКА С.М.	#regular	ru	1
ВОЙЦЕХОВСЬКА С.М.	#regular	uk	52
ВОЛИНЕЦЬ М.Я.	#regular	be	2
ВОЛИНЕЦЬ М.Я.	#regular	ru	3
ВОЛИНЕЦЬ М.Я.	#regular	uk	190
ВОЛКОВИЦЬКА Н.О.	#regular	uk	1
ВОЛОДІНА Д.А.	#regular	uk	37
ВОЛОШИН О.А.	#regular	ru	1
ВОЛОШИН О.А.	#regular	sr	2
ВОЛОШИН О.А.	#regular	uk	666
ВОРОНА Д.М.	#regular	uk	12
ВОРОНОВ В.А.	#regular	uk	2
ВОРОНЬКО О.Є.	#regular	uk	14
ВОРОПАЄВ Ю.М.	#regular	ru	115
ВОРОПАЄВ Ю.М.	#regular	uk	57
ВОЩЕВСЬКИЙ В.М.	#regular	uk	38
ВРОНСЬКА Г.О.	#regular	uk	24
В’ЯТРОВИЧ В.М.	#regular	ru	3
В’ЯТРОВИЧ В.М.	#regular	uk	516
В’ЯТРОВИЧ В.М.	#regular	un	2
ГЄЛЛЄР Є.Б.	#regular	ru	25
ГЄЛЛЄР Є.Б.	#regular	uk	311
ГІНКА Я.Я.	#regular	uk	23
ГІРШФЕЛЬД А.М.	#regular	ru	75
ГІРШФЕЛЬД А.М.	#regular	sr	1
ГІРШФЕЛЬД А.М.	#regular	uk	12
ГІТАНАС НАУСЄДА	#regular	uk	43
ГАВРИЛЮК М.В.	#regular	uk	19
ГАЙДОШ І.Ф.	#regular	uk	72
ГАЙДУ О.В.	#regular	uk	7
ГАЛІБАРЕНКО Н.М.	#regular	uk	4
ГАЛАЙЧУК В.С.	#regular	uk	21
ГАЛАСЮК В.В.	#regular	ru	6
ГАЛАСЮК В.В.	#regular	uk	2559
ГАЛАСЮК В.В.	#regular	un	1
ГАЛУШКО М.Л.	#regular	uk	7
ГАЛУЩЕНКО Г.В.	#regular	uk	251
ГАЛЬЧЕНКО А.В.	#regular	ru	17
ГАЛЬЧЕНКО А.В.	#regular	uk	39
ГАНУЩАК Ю.І.	#regular	uk	29
ГАНЧУКОВ О.К.	#regular	uk	1
ГАРБАРУК І.М.	#regular	uk	2
ГАТАУЛЛІНА О.А.	#regular	uk	2
ГАШЕВ М.Х.	#regular	uk	2
ГВОЗДЬ В.І.	#regular	uk	6
ГЕВКО А.Є.	#regular	uk	10
ГЕВКО В.Л.	#regular	uk	56
ГЕЛЕВЕЙ О.І.	#regular	uk	48
ГЕЛЕТІЙ Ю.І.	#regular	uk	12
ГЕЛЕТЕЙ В.В.	#regular	uk	6
ГЕРАСИМЕНКО І.Л.	#regular	uk	4
ГЕРАСИМОВ А.В.	#regular	ru	6
ГЕРАСИМОВ А.В.	#regular	uk	2224
ГЕРАСИМЧУК М.І.	#regular	uk	5
ГЕРАЩЕНКО І.В.	#chair	be	465
ГЕРАЩЕНКО І.В.	#chair	bg	4
ГЕРАЩЕНКО І.В.	#chair	mk	4
ГЕРАЩЕНКО І.В.	#chair	ru	618
ГЕРАЩЕНКО І.В.	#chair	sr	4
ГЕРАЩЕНКО І.В.	#chair	uk	41221
ГЕРАЩЕНКО І.В.	#chair	un	14
ГЕРАЩЕНКО І.В.	#regular	be	7
ГЕРАЩЕНКО І.В.	#regular	bg	2
ГЕРАЩЕНКО І.В.	#regular	ru	24
ГЕРАЩЕНКО І.В.	#regular	uk	4176
ГЕРАЩЕНКО І.В.	#regular	un	2
ГЕРАЩЕНКО А.Ю.	#regular	ru	155
ГЕРАЩЕНКО А.Ю.	#regular	uk	285
ГЕРЕ Ю.П.	#regular	uk	4
ГЕРЕГА О.В.	#regular	uk	2
ГЕРЖОВ Ю.І.	#regular	uk	9
ГЕРМАН Г.М.	#regular	ru	1
ГЕРМАН Г.М.	#regular	uk	318
ГЕРМАН Д.В.	#regular	uk	2
ГЕРУС А.М.	#regular	ru	2
ГЕРУС А.М.	#regular	uk	305
ГЕРУС А.М.	#regular	un	1
ГЕТМАНЦЕВ Д.О.	#regular	mk	1
ГЕТМАНЦЕВ Д.О.	#regular	ru	1
ГЕТМАНЦЕВ Д.О.	#regular	uk	1353
ГЕТМАНЦЕВ Д.О.	#regular	un	1
ГЛАДІЙ В.І.	#regular	uk	38
ГЛАЗУНОВ С.М.	#regular	uk	41
ГЛУЩЕНКО В.А.	#regular	uk	1
ГЛУЩЕНКО С.В.	#regular	uk	28
ГНАТЕНКО В.С.	#regular	ru	4
ГНАТЕНКО В.С.	#regular	uk	361
ГОЛЕНКО В.М.	#regular	ru	5
ГОЛОВАТИЙ В.Я.	#regular	uk	1
ГОЛОВКО В.А.	#regular	uk	13
ГОЛОВКО М.Й.	#regular	uk	884
ГОЛОС ІЗ ЗАЛИ	#regular	bg	1
ГОЛОС ІЗ ЗАЛИ	#regular	uk	2
ГОЛОС ІЗ ЗАЛИ	#regular	un	1
ГОЛОСИ ІЗ ЗАЛИ	#regular	ru	4
ГОЛОСИ ІЗ ЗАЛИ	#regular	uk	1
ГОЛУБ В.В.	#regular	uk	472
ГОЛУБОВ Д.І.	#regular	ru	22
ГОЛУБОВ Д.І.	#regular	uk	3
ГОНТАРЄВА В.О.	#regular	uk	14
ГОНТАРЕВА В.О.	#regular	ru	5
ГОНТАРЕВА В.О.	#regular	uk	238
ГОНТАРЕВА В.О.	#regular	un	1
ГОНЧАРЕНКО О.В.	#regular	uk	1
ГОНЧАРЕНКО О.О.	#regular	bg	1
ГОНЧАРЕНКО О.О.	#regular	ru	24
ГОНЧАРЕНКО О.О.	#regular	sr	1
ГОНЧАРЕНКО О.О.	#regular	uk	2053
ГОНЧАРЕНКО О.О.	#regular	un	1
ГОНЧАРОВ А.Д.	#regular	ru	35
ГОНЧАРОВ А.Д.	#regular	uk	43
ГОНЧАРОВ С.В.	#regular	ru	33
ГОНЧАРОВ С.В.	#regular	uk	56
ГОНЧАРОВ С.М.	#regular	uk	5
ГОНЧАРУК О.В.	#regular	ru	6
ГОНЧАРУК О.В.	#regular	uk	371
ГОПКО Г.М.	#regular	ru	1
ГОПКО Г.М.	#regular	uk	1151
ГОПОКО Г.М.	#regular	uk	2
ГОРІНА І.А.	#regular	ru	5
ГОРІНА І.А.	#regular	uk	3
ГОРБЕНКО Р.О.	#regular	uk	39
ГОРБУЛІН В.П.	#regular	uk	15
ГОРБУНОВ О.В.	#regular	uk	131
ГОРВАТ Р.І.	#regular	uk	79
ГОРДЄЄВ А.А.	#regular	uk	111
ГОРДІЄНКО С.В.	#regular	bg	1
ГОРДІЄНКО С.В.	#regular	uk	218
ГОРЕНЮК О.О.	#regular	uk	20
ГОРОХОВ С.О.	#regular	ru	13
ГОРОХОВ С.О.	#regular	uk	2
ГОЦУЛ І.Є.	#regular	uk	7
ГРАДІЛЬ А.І.	#regular	mk	1
ГРАДІЛЬ А.І.	#regular	uk	22
ГРЕБА Р.В.	#regular	uk	24
ГРЕНЬ В.В.	#regular	uk	2
ГРЕЧКІВСЬКИЙ П.М.	#regular	uk	2
ГРИБ В.О.	#regular	be	1
ГРИБ В.О.	#regular	ru	8
ГРИБ В.О.	#regular	uk	289
ГРИБ В.О.	#regular	un	7
ГРИВКО С.Д.	#regular	uk	7
ГРИНІВ І.О.	#regular	ru	1
ГРИНІВ І.О.	#regular	uk	108
ГРИНЕВЕЦЬКИЙ С.Р.	#regular	ru	3
ГРИНЕВЕЦЬКИЙ С.Р.	#regular	uk	116
ГРИНЕВИЧ Л.М.	#regular	ru	2
ГРИНЕВИЧ Л.М.	#regular	uk	652
ГРИНЕВИЧ Л.С.	#regular	uk	2
