cnt	orgID	isFraction	term	postID	orgName	postName
1	3016	unknown	9	916	Комітету Верховної Ради України з питань прав людини, деокупації та реінтеграції тимчасово окупованих територій у Донецькій, Луганській областях та Автономної Республіки Крим, міста Севастополя, національних меншин і міжнаціональних відносин	Перший заступник голови Комітету Верховної Ради України
1	3017	unknown	9	4	Комітету Верховної Ради України з питань правової політики	Голова Комітету Верховної Ради України
1	3017	unknown	9	5	Комітету Верховної Ради України з питань правової політики	Заступник голови Комітету Верховної Ради України
1	3017	unknown	9	7	Комітету Верховної Ради України з питань правової політики	Секретар Комітету Верховної Ради України
13	3017	unknown	9	8	Комітету Верховної Ради України з питань правової політики	Член Комітету Верховної Ради України
1	3017	unknown	9	916	Комітету Верховної Ради України з питань правової політики	Перший заступник голови Комітету Верховної Ради України
1	3018	unknown	9	4	Комітету Верховної Ради України з питань правоохоронної діяльності	Голова Комітету Верховної Ради України
4	3018	unknown	9	5	Комітету Верховної Ради України з питань правоохоронної діяльності	Заступник голови Комітету Верховної Ради України
1	3018	unknown	9	7	Комітету Верховної Ради України з питань правоохоронної діяльності	Секретар Комітету Верховної Ради України
12	3018	unknown	9	8	Комітету Верховної Ради України з питань правоохоронної діяльності	Член Комітету Верховної Ради України
1	3018	unknown	9	916	Комітету Верховної Ради України з питань правоохоронної діяльності	Перший заступник голови Комітету Верховної Ради України
1	3019	unknown	9	4	Комітету Верховної Ради України з питань Регламенту, депутатської етики та організації роботи Верховної Ради України	Голова Комітету Верховної Ради України
2	3019	unknown	9	5	Комітету Верховної Ради України з питань Регламенту, депутатської етики та організації роботи Верховної Ради України	Заступник голови Комітету Верховної Ради України
1	3019	unknown	9	7	Комітету Верховної Ради України з питань Регламенту, депутатської етики та організації роботи Верховної Ради України	Секретар Комітету Верховної Ради України
1	3019	unknown	9	916	Комітету Верховної Ради України з питань Регламенту, депутатської етики та організації роботи Верховної Ради України	Перший заступник голови Комітету Верховної Ради України
1	3020	unknown	9	4	Комітету Верховної Ради України з питань свободи слова	Голова Комітету Верховної Ради України
1	3020	unknown	9	5	Комітету Верховної Ради України з питань свободи слова	Заступник голови Комітету Верховної Ради України
1	3020	unknown	9	8	Комітету Верховної Ради України з питань свободи слова	Член Комітету Верховної Ради України
1	3021	unknown	9	4	Комітету Верховної Ради України з питань соціальної політики та захисту прав ветеранів	Голова Комітету Верховної Ради України
2	3021	unknown	9	5	Комітету Верховної Ради України з питань соціальної політики та захисту прав ветеранів	Заступник голови Комітету Верховної Ради України
