utterance	note	who	sentence
ParlaMint-UA_2014-02-05-m0.u32	САЛЬДО В.В.	#ВолодимирВасильовичСальдо.1956	Прошу, народний депутат [Володимир](ParlaMint-UA_2014-02-05-m0.u31.p1.s1.w5) [Сальдо](ParlaMint-UA_2014-02-05-m0.u31.p1.s1.w6). 
ParlaMint-UA_2014-02-05-m0.u34	ТОМЕНКО М.В.	#МиколаВолодимировичТоменко.1964	Я прошу, [Микола](ParlaMint-UA_2014-02-05-m0.u33.p1.s2.w4) [Томенко](ParlaMint-UA_2014-02-05-m0.u33.p1.s2.w5), хвилина вам. 
ParlaMint-UA_2014-02-05-m0.u34	ТОМЕНКО М.В.	#МиколаВолодимировичТоменко.1964	Прошу, [Микола](ParlaMint-UA_2014-02-05-m0.u33.p1.s4.w3) [Томенко](ParlaMint-UA_2014-02-05-m0.u33.p1.s4.w4). 
ParlaMint-UA_2014-02-05-m0.u36	ЛЕОНОВ Е.В.	#ЕдуардВолодимировичЛеонов.1974	Я прошу, Едуард, хвилина, [Леонов](ParlaMint-UA_2014-02-05-m0.u35.p2.s1.w8). 
ParlaMint-UA_2014-02-05-m0.u38	МОХНИК А.В.	#АндрійВолодимировичМохник.1972	[Андрій](ParlaMint-UA_2014-02-05-m0.u37.p5.s3.w1) [Мохник](ParlaMint-UA_2014-02-05-m0.u37.p5.s3.w2), прошу, 3 хвилини у вас. 
ParlaMint-UA_2014-02-05-m0.u40	ТУРЧИНОВ О.В.	#ОлександрВалентиновичТурчинов.1964	Фракція "Батьківщина", народний депутат [Олександр](ParlaMint-UA_2014-02-05-m0.u39.p1.s2.w8) [Турчинов](ParlaMint-UA_2014-02-05-m0.u39.p1.s2.w9). 
ParlaMint-UA_2014-02-05-m0.u44	МІРОШНИЧЕНКО Ю.Р.	#ЮрійРомановичМірошниченко.1970	Народний депутат [Юрій](ParlaMint-UA_2014-02-05-m0.u43.p1.s1.w3) [Мірошниченко](ParlaMint-UA_2014-02-05-m0.u43.p1.s1.w4), фракція Партії регіонів. 
ParlaMint-UA_2014-02-05-m0.u46	СИМОНЕНКО П.М.	#ПетроМиколайовичСимоненко.1952	Фракція Комуністичної партії України, керівник фракцій [Петро](ParlaMint-UA_2014-02-05-m0.u45.p1.s2.w8) [Симоненко](ParlaMint-UA_2014-02-05-m0.u45.p1.s2.w9). 
ParlaMint-UA_2014-02-05-m0.u48	КЛИЧКО В.В.	#ВіталійВолодимировичКличко.1971	Фракція "УДАР", керівник фракції [Віталій](ParlaMint-UA_2014-02-05-m0.u47.p1.s1.w8) [Кличко](ParlaMint-UA_2014-02-05-m0.u47.p1.s1.w9). 
ParlaMint-UA_2014-02-05-m0.u48	КЛИЧКО В.В.	#ВіталійВолодимировичКличко.1971	Фракція "УДАР", керівник фракції [Віталій](ParlaMint-UA_2014-02-05-m0.u47.p1.s1.w8) [Кличко](ParlaMint-UA_2014-02-05-m0.u47.p1.s1.w9). 
ParlaMint-UA_2014-02-05-m0.u50	ЛЯШКО О.В.	#ОлегВалерійовичЛяшко.1972	[Олег](ParlaMint-UA_2014-02-05-m0.u49.p2.s2.w1) [Ляшко](ParlaMint-UA_2014-02-05-m0.u49.p2.s2.w2), прошу. 
ParlaMint-UA_2014-02-05-m0.u54	МАТВЄЄВ В.Г.	#ВалентинГригоровичМатвєєв.1943	Я хочу надати слово секретарю Комітету з питань Регламенту, депутатської етики [Валентину](ParlaMint-UA_2014-02-05-m0.u53.p2.s1.w13) [Григоровичу](ParlaMint-UA_2014-02-05-m0.u53.p2.s1.w14) [Матвєєву](ParlaMint-UA_2014-02-05-m0.u53.p2.s1.w15). 
ParlaMint-UA_2014-02-05-m0.u56	МАРТИНЮК Л.С.	#ЛеонтійСвятославовичМартинюк.1971	Я прошу, об'єднання "Свобода", народний депутат [Мартинюк](ParlaMint-UA_2014-02-05-m0.u55.p2.s5.w11). 
ParlaMint-UA_2014-02-05-m0.u60	РОЗЕНКО П.В.	#ПавлоВалерійовичРозенко.1970	[Павло](ParlaMint-UA_2014-02-05-m0.u59.p3.s2.w1) [Розенко](ParlaMint-UA_2014-02-05-m0.u59.p3.s2.w2), прошу, фракція "УДАР". 
ParlaMint-UA_2014-02-05-m0.u62	КОЛЕСНІЧЕНКО В.В.	#ВадимВасильовичКолесніченко.1958	Виступає [Вадим](ParlaMint-UA_2014-02-05-m0.u61.p3.s3.w2) [Колесніченко](ParlaMint-UA_2014-02-05-m0.u61.p3.s3.w3). 
