utterance	note	who	sentence
ParlaMint-UA_2017-02-21-m0.u26	ІВЧЕНКО В.Є.	#ВадимЄвгеновичІвченко.1980	[Івченко](ParlaMint-UA_2017-02-21-m0.u25.p2.s2.w1), тоді назвіть і пропозицію Крулька теж. 
ParlaMint-UA_2017-02-21-m0.u30	КРУЛЬКО І.І.	#ІванІвановичКрулько.1981	[Крулько](ParlaMint-UA_2017-02-21-m0.u29.p3.s1.w1), хвилина, Семенуха, і переходимо до голосування. 
ParlaMint-UA_2017-02-21-m0.u30	КРУЛЬКО І.І.	#ІванІвановичКрулько.1981	Будь ласка, [Іван](ParlaMint-UA_2017-02-21-m0.u29.p5.s1.w4) [Крулько](ParlaMint-UA_2017-02-21-m0.u29.p5.s1.w5), включіть мікрофон. 
ParlaMint-UA_2017-02-21-m0.u30	КРУЛЬКО І.І.	#ІванІвановичКрулько.1981	Будь ласка, [Іван](ParlaMint-UA_2017-02-21-m0.u29.p5.s1.w4) [Крулько](ParlaMint-UA_2017-02-21-m0.u29.p5.s1.w5), включіть мікрофон. 
ParlaMint-UA_2017-02-21-m0.u36	БАРНА О.С.	#ОлегСтепановичБарна.1967	Колеги, ще [Барна](ParlaMint-UA_2017-02-21-m0.u35.p3.s1.w4), одна хвилина, і переходимо до голосування, Будь ласка, заходимо в зал. 
ParlaMint-UA_2017-02-21-m0.u38	ГРИНІВ І.О.	#ІгорОлексійовичГринів.1961	Колеги, будь ласка, буквально 30 секунд, голова фракції "Блоку Петра Порошенка" [Ігор](ParlaMint-UA_2017-02-21-m0.u37.p2.s5.w17) [Гринів](ParlaMint-UA_2017-02-21-m0.u37.p2.s5.w18). 
ParlaMint-UA_2017-02-21-m0.u42	БЕРЕЗЮК О.Р.	#ОлегРомановичБерезюк.1969	Одна хвилина, [Олег](ParlaMint-UA_2017-02-21-m0.u41.p3.s1.w4) [Березюк](ParlaMint-UA_2017-02-21-m0.u41.p3.s1.w5) і голосуємо. 
ParlaMint-UA_2017-02-21-m0.u44	ЮЖАНІНА Н.П.	#НінаПетрівнаЮжаніна.1965	Будь ласка, [Южаніна](ParlaMint-UA_2017-02-21-m0.u43.p2.s1.w4) [Ніна](ParlaMint-UA_2017-02-21-m0.u43.p2.s1.w5) Петрівна. 
ParlaMint-UA_2017-02-21-m0.u44	ЮЖАНІНА Н.П.	#НінаПетрівнаЮжаніна.1965	Будь ласка, [Южаніна](ParlaMint-UA_2017-02-21-m0.u43.p2.s1.w4) Ніна [Петрівна](ParlaMint-UA_2017-02-21-m0.u43.p2.s1.w6). 
ParlaMint-UA_2017-02-21-m0.u46	ВІННИК І.Ю.	#ІванЮлійовичВінник.1979	І, будь ласка, [Вінник](ParlaMint-UA_2017-02-21-m0.u45.p1.s5.w6) і Бурбак, по хвилині, будь ласка. 
ParlaMint-UA_2017-02-21-m0.u50	БУРБАК М.Ю.	#МаксимЮрійовичБурбак.1976	Будь ласка, [Максим](ParlaMint-UA_2017-02-21-m0.u49.p1.s1.w4) [Бурбак](ParlaMint-UA_2017-02-21-m0.u49.p1.s1.w5). 
ParlaMint-UA_2017-02-21-m0.u50	БУРБАК М.Ю.	#МаксимЮрійовичБурбак.1976	Ні, [Максим](ParlaMint-UA_2017-02-21-m0.u49.p3.s2.w3) [Бурбак](ParlaMint-UA_2017-02-21-m0.u49.p3.s2.w4) і переходимо до голосування. 
ParlaMint-UA_2017-02-21-m0.u58	БУРБАК М.Ю.	#МаксимЮрійовичБурбак.1976	До співдоповіді запрошується представник Комітету у справах ветеранів, учасників бойових дій і учасників АТО [Бурбак](ParlaMint-UA_2017-02-21-m0.u57.p2.s1.w16) [Максим](ParlaMint-UA_2017-02-21-m0.u57.p2.s1.w17). 
ParlaMint-UA_2017-02-21-m0.u60	СЕМЕНУХА Р.С.	#РоманСергійовичСеменуха.1977	[Семенуха](ParlaMint-UA_2017-02-21-m0.u59.p3.s1.w1), включіть мікрофон. 
ParlaMint-UA_2017-02-21-m0.u62	ЛУЦЕНКО І.В.	#ІгорВікторовичЛуценко.1978	[Луценко](ParlaMint-UA_2017-02-21-m0.u61.p1.s1.w1) [Ігор](ParlaMint-UA_2017-02-21-m0.u61.p1.s1.w2), будь ласка, від "Батьківщини". 
ParlaMint-UA_2017-02-21-m0.u64	МЕЛЬНИЧУК С.П.	#СергійПетровичМельничук.1972	[Мельничук](ParlaMint-UA_2017-02-21-m0.u63.p2.s1.w1) [Сергій](ParlaMint-UA_2017-02-21-m0.u63.p2.s1.w2) Петрович, "Воля народу", будь ласка. 
ParlaMint-UA_2017-02-21-m0.u64	МЕЛЬНИЧУК С.П.	#СергійПетровичМельничук.1972	[Мельничук](ParlaMint-UA_2017-02-21-m0.u63.p2.s1.w1) Сергій [Петрович](ParlaMint-UA_2017-02-21-m0.u63.p2.s1.w3), "Воля народу", будь ласка. 
ParlaMint-UA_2017-02-21-m0.u66	КОРЧИНСЬКА О.А.	#ОксанаАнатоліївнаКорчинська.1970	[Корчинська](ParlaMint-UA_2017-02-21-m0.u65.p1.s1.w1) [Оксана](ParlaMint-UA_2017-02-21-m0.u65.p1.s1.w2) [Анатолівна](ParlaMint-UA_2017-02-21-m0.u65.p1.s1.w3), будь ласка. 
ParlaMint-UA_2017-02-21-m0.u68	БОНДАР М.Л.	#МихайлоЛеонтійовичБондар.1973	Від "Народного фронту" [Михайло](ParlaMint-UA_2017-02-21-m0.u67.p2.s2.w6) [Бондар](ParlaMint-UA_2017-02-21-m0.u67.p2.s2.w7). 
ParlaMint-UA_2017-02-21-m0.u70	ГЕРАЩЕНКО І.В.	#ІринаВолодимирівнаГеращенко.1971	І я запрошую до доповіді народного депутата України, Першого заступника Голови Верховної Ради України [Геращенко](ParlaMint-UA_2017-02-21-m0.u69.p25.s1.w16) [Ірину](ParlaMint-UA_2017-02-21-m0.u69.p25.s1.w17) Володимирівну. 
ParlaMint-UA_2017-02-21-m0.u70	ГЕРАЩЕНКО І.В.	#ІринаВолодимирівнаГеращенко.1971	І я запрошую до доповіді народного депутата України, Першого заступника Голови Верховної Ради України [Геращенко](ParlaMint-UA_2017-02-21-m0.u69.p25.s1.w16) Ірину [Володимирівну](ParlaMint-UA_2017-02-21-m0.u69.p25.s1.w18). 
ParlaMint-UA_2017-02-21-m0.u74	АНДРІЄВСЬКИЙ Д.Й.	#ДмитроЙосиповичАндрієвський.1967	До співдоповіді запрошується перший заступник голови Комітету з питань будівництва, містобудування і ЖКГ [Андрієвський](ParlaMint-UA_2017-02-21-m0.u73.p2.s1.w15) [Дмитро](ParlaMint-UA_2017-02-21-m0.u73.p2.s1.w16) [Йосипович](ParlaMint-UA_2017-02-21-m0.u73.p2.s1.w17). 
ParlaMint-UA_2017-02-21-m0.u76	ГОЛУБ В.В.	#ВладиславВолодимировичГолуб.1983	[Голуб](ParlaMint-UA_2017-02-21-m0.u75.p3.s1.w1) [Владислав](ParlaMint-UA_2017-02-21-m0.u75.p3.s1.w2) Володимирович. 
ParlaMint-UA_2017-02-21-m0.u76	ГОЛУБ В.В.	#ВладиславВолодимировичГолуб.1983	[Голуб](ParlaMint-UA_2017-02-21-m0.u75.p3.s1.w1) Владислав [Володимирович](ParlaMint-UA_2017-02-21-m0.u75.p3.s1.w3). 
ParlaMint-UA_2017-02-21-m0.u76	ГОЛУБ В.В.	#ВладиславВолодимировичГолуб.1983	[Голуб](ParlaMint-UA_2017-02-21-m0.u75.p3.s1.w1) [Владислав](ParlaMint-UA_2017-02-21-m0.u75.p3.s1.w2) Володимирович. 
ParlaMint-UA_2017-02-21-m0.u76	ГОЛУБ В.В.	#ВладиславВолодимировичГолуб.1983	[Голуб](ParlaMint-UA_2017-02-21-m0.u75.p3.s1.w1) Владислав [Володимирович](ParlaMint-UA_2017-02-21-m0.u75.p3.s1.w3). 
ParlaMint-UA_2017-02-21-m0.u77	ІОНОВА М.М.	#МаріяМиколаївнаІонова.1978	Прошу передати слово моїй колезі [Марії](ParlaMint-UA_2017-02-21-m0.u76.p1.s2.w6) [Миколаївні](ParlaMint-UA_2017-02-21-m0.u76.p1.s2.w7) [Іоновій](ParlaMint-UA_2017-02-21-m0.u76.p1.s2.w8). 
ParlaMint-UA_2017-02-21-m0.u77	ІОНОВА М.М.	#МаріяМиколаївнаІонова.1978	Прошу передати слово моїй колезі [Марії](ParlaMint-UA_2017-02-21-m0.u76.p1.s2.w6) [Миколаївні](ParlaMint-UA_2017-02-21-m0.u76.p1.s2.w7) [Іоновій](ParlaMint-UA_2017-02-21-m0.u76.p1.s2.w8). 
ParlaMint-UA_2017-02-21-m0.u79	СОБОЛЄВ Є.В.	#ЄгорВікторовичСоболєв.1977	[Єгор](ParlaMint-UA_2017-02-21-m0.u78.p1.s1.w1) [Соболєв](ParlaMint-UA_2017-02-21-m0.u78.p1.s1.w2), "Самопоміч". 
ParlaMint-UA_2017-02-21-m0.u81	ЛУЦЕНКО І.В.	#ІгорВікторовичЛуценко.1978	Від "Батьківщини" [Ігор](ParlaMint-UA_2017-02-21-m0.u80.p1.s1.w5) [Луценко](ParlaMint-UA_2017-02-21-m0.u80.p1.s1.w6), будь ласка. 
ParlaMint-UA_2017-02-21-m0.u85	МЕЛЬНИЧУК С.П.	#СергійПетровичМельничук.1972	Колеги, зараз [Мельничук](ParlaMint-UA_2017-02-21-m0.u84.p1.s1.w4) [Сергій](ParlaMint-UA_2017-02-21-m0.u84.p1.s1.w5), одна хвилина. 
ParlaMint-UA_2017-02-21-m0.u87	ЛЕВЧЕНКО Ю.В.	#ЮрійВолодимировичЛевченко.1984	Зараз ще хвилина – [Левченко](ParlaMint-UA_2017-02-21-m0.u86.p1.s3.w5), і переходимо до голосування. 
ParlaMint-UA_2017-02-21-m0.u91	ТРЕТЬЯКОВ О.Ю.	#ОлександрЮрійовичТретьяков.1970	І, колеги, тепер технічний законопроект, на якому наполягав комітет [Третьякова](ParlaMint-UA_2017-02-21-m0.u90.p10.s1.w13) [Олександра](ParlaMint-UA_2017-02-21-m0.u90.p10.s1.w14) [Юрійовича](ParlaMint-UA_2017-02-21-m0.u90.p10.s1.w15). 
ParlaMint-UA_2017-02-21-m0.u91	ТРЕТЬЯКОВ О.Ю.	#ОлександрЮрійовичТретьяков.1970	І я запрошую до доповіді народного депутата України [Третьякова](ParlaMint-UA_2017-02-21-m0.u90.p14.s1.w9) Олександра [Юрійовича](ParlaMint-UA_2017-02-21-m0.u90.p14.s1.w11). 
ParlaMint-UA_2017-02-21-m0.u93	МАРКЕВИЧ Я.В.	#ЯрославВолодимировичМаркевич.1973	[Маркевич](ParlaMint-UA_2017-02-21-m0.u92.p3.s1.w1) [Ярослав](ParlaMint-UA_2017-02-21-m0.u92.p3.s1.w2) Володимирович. 
ParlaMint-UA_2017-02-21-m0.u93	МАРКЕВИЧ Я.В.	#ЯрославВолодимировичМаркевич.1973	[Маркевич](ParlaMint-UA_2017-02-21-m0.u92.p3.s1.w1) Ярослав [Володимирович](ParlaMint-UA_2017-02-21-m0.u92.p3.s1.w3). 
ParlaMint-UA_2017-02-21-m0.u95	КРУЛЬКО І.І.	#ІванІвановичКрулько.1981	[Крулько](ParlaMint-UA_2017-02-21-m0.u94.p2.s1.w1) [Іван](ParlaMint-UA_2017-02-21-m0.u94.p2.s1.w2), "Батьківщина". 
ParlaMint-UA_2017-02-21-m0.u95	КРУЛЬКО І.І.	#ІванІвановичКрулько.1981	[Крулько](ParlaMint-UA_2017-02-21-m0.u94.p2.s1.w1) [Іван](ParlaMint-UA_2017-02-21-m0.u94.p2.s1.w2), "Батьківщина". 
ParlaMint-UA_2017-02-21-m0.u97	КИШКАР П.М.	#ПавлоМиколайовичКишкар.1980	Колеги, останній виступ [Кишкар](ParlaMint-UA_2017-02-21-m0.u96.p2.s1.w5) [Павло](ParlaMint-UA_2017-02-21-m0.u96.p2.s1.w6) Миколайович і переходимо до голосування. 
ParlaMint-UA_2017-02-21-m0.u97	КИШКАР П.М.	#ПавлоМиколайовичКишкар.1980	Колеги, останній виступ [Кишкар](ParlaMint-UA_2017-02-21-m0.u96.p2.s1.w5) Павло [Миколайович](ParlaMint-UA_2017-02-21-m0.u96.p2.s1.w7) і переходимо до голосування. 
ParlaMint-UA_2017-02-21-m0.u101	ШЕВЧУК О.М.	ШЕВЧУК О.М.	І я запрошую до доповіді заступника міністра оборони [Шевчука](ParlaMint-UA_2017-02-21-m0.u100.p11.s1.w9) [Олега](ParlaMint-UA_2017-02-21-m0.u100.p11.s1.w10) Миколайовича. 
ParlaMint-UA_2017-02-21-m0.u101	ШЕВЧУК О.М.	ШЕВЧУК О.М.	І я запрошую до доповіді заступника міністра оборони [Шевчука](ParlaMint-UA_2017-02-21-m0.u100.p11.s1.w9) Олега [Миколайовича](ParlaMint-UA_2017-02-21-m0.u100.p11.s1.w11). 
ParlaMint-UA_2017-02-21-m0.u103	ВІННИК І.Ю.	#ІванЮлійовичВінник.1979	І зараз слово для співдоповіді від профільного Комітету з питань національної безпеки і оборони надається народному депутатові, що представляє цей комітет, [Івану](ParlaMint-UA_2017-02-21-m0.u102.p2.s1.w24) [Віннику](ParlaMint-UA_2017-02-21-m0.u102.p2.s1.w25). 
ParlaMint-UA_2017-02-21-m0.u105	ТАРАСЮК Б.І.	#БорисІвановичТарасюк.1949	Будь ласка, [Борис](ParlaMint-UA_2017-02-21-m0.u104.p3.s1.w4) [Іванович](ParlaMint-UA_2017-02-21-m0.u104.p3.s1.w5) [Тарасюк](ParlaMint-UA_2017-02-21-m0.u104.p3.s1.w6). 
ParlaMint-UA_2017-02-21-m0.u107	ОДАРЧЕНКО Ю.В.	#ЮрійВіталійовичОдарченко.1960	Будь ласка, пану [Одарченку](ParlaMint-UA_2017-02-21-m0.u106.p1.s1.w5) мікрофон увімкніть. 
ParlaMint-UA_2017-02-21-m0.u109	МОСІЙЧУК І.В.	#ІгорВолодимировичМосійчук.1972	Будь ласка, пану [Мосійчуку](ParlaMint-UA_2017-02-21-m0.u108.p1.s2.w5) передає слово його колега Юрій Чижмарь. 
ParlaMint-UA_2017-02-21-m0.u109	МОСІЙЧУК І.В.	#ІгорВолодимировичМосійчук.1972	Будь ласка, пане [Мосійчук](ParlaMint-UA_2017-02-21-m0.u108.p1.s3.w5). 
ParlaMint-UA_2017-02-21-m0.u111	КИШКАР П.М.	#ПавлоМиколайовичКишкар.1980	Будь ласка, від "Блоку Петра Порошенка" [Павло](ParlaMint-UA_2017-02-21-m0.u110.p2.s1.w10) [Кишкар](ParlaMint-UA_2017-02-21-m0.u110.p2.s1.w11). 
ParlaMint-UA_2017-02-21-m0.u113	ШЕВЧУК О.М.	ШЕВЧУК О.М.	заступника міністра оброни [Шевчука](ParlaMint-UA_2017-02-21-m0.u112.p11.s2.w4) [Олега](ParlaMint-UA_2017-02-21-m0.u112.p11.s2.w5) Миколайовича. 
ParlaMint-UA_2017-02-21-m0.u113	ШЕВЧУК О.М.	ШЕВЧУК О.М.	заступника міністра оброни [Шевчука](ParlaMint-UA_2017-02-21-m0.u112.p11.s2.w4) Олега [Миколайовича](ParlaMint-UA_2017-02-21-m0.u112.p11.s2.w6). 
ParlaMint-UA_2017-02-21-m0.u115	ВІННИК І.Ю.	#ІванЮлійовичВінник.1979	Будь ласка, до співдоповіді запрошується [Вінник](ParlaMint-UA_2017-02-21-m0.u114.p2.s1.w7). 
ParlaMint-UA_2017-02-21-m0.u117	КИШКАР П.М.	#ПавлоМиколайовичКишкар.1980	Будь ласка, [Кишкар](ParlaMint-UA_2017-02-21-m0.u116.p3.s3.w4), одна хвилина. 
ParlaMint-UA_2017-02-21-m0.u120	СЮМАР В.П.	#ВікторіяПетрівнаСюмар.1977	І я запрошую до доповіді народного депутата України [Сюмар](ParlaMint-UA_2017-02-21-m0.u119.p11.s1.w9) [Вікторію](ParlaMint-UA_2017-02-21-m0.u119.p11.s1.w10) Петрівну. 
ParlaMint-UA_2017-02-21-m0.u120	СЮМАР В.П.	#ВікторіяПетрівнаСюмар.1977	І я запрошую до доповіді народного депутата України [Сюмар](ParlaMint-UA_2017-02-21-m0.u119.p11.s1.w9) Вікторію [Петрівну](ParlaMint-UA_2017-02-21-m0.u119.p11.s1.w11). 
ParlaMint-UA_2017-02-21-m0.u124	КНЯЖИЦЬКИЙ М.Л.	#МиколаЛеонідовичКняжицький.1968	До співдоповіді запрошується голова Комітету з питань культури і духовності [Княжицький](ParlaMint-UA_2017-02-21-m0.u123.p1.s1.w11) [Микола](ParlaMint-UA_2017-02-21-m0.u123.p1.s1.w12) Леонідович. 
ParlaMint-UA_2017-02-21-m0.u124	КНЯЖИЦЬКИЙ М.Л.	#МиколаЛеонідовичКняжицький.1968	До співдоповіді запрошується голова Комітету з питань культури і духовності [Княжицький](ParlaMint-UA_2017-02-21-m0.u123.p1.s1.w11) Микола [Леонідович](ParlaMint-UA_2017-02-21-m0.u123.p1.s1.w13). 
ParlaMint-UA_2017-02-21-m0.u128	БОНДАР М.Л.	#МихайлоЛеонтійовичБондар.1973	[Бондар](ParlaMint-UA_2017-02-21-m0.u127.p2.s1.w1) [Михайло](ParlaMint-UA_2017-02-21-m0.u127.p2.s1.w2) Леонтійович, "Народний фронт". 
ParlaMint-UA_2017-02-21-m0.u128	БОНДАР М.Л.	#МихайлоЛеонтійовичБондар.1973	[Бондар](ParlaMint-UA_2017-02-21-m0.u127.p2.s1.w1) Михайло [Леонтійович](ParlaMint-UA_2017-02-21-m0.u127.p2.s1.w3), "Народний фронт". 
ParlaMint-UA_2017-02-21-m0.u130	ТЕТЕРУК А.А.	#АндрійАнатолійовичТетерук.1973	Передає [Андрію](ParlaMint-UA_2017-02-21-m0.u129.p2.s2.w2) [Тетеруку](ParlaMint-UA_2017-02-21-m0.u129.p2.s2.w3) слово. 
ParlaMint-UA_2017-02-21-m0.u130	ТЕТЕРУК А.А.	#АндрійАнатолійовичТетерук.1973	Передає [Андрію](ParlaMint-UA_2017-02-21-m0.u129.p2.s2.w2) [Тетеруку](ParlaMint-UA_2017-02-21-m0.u129.p2.s2.w3) слово. 
ParlaMint-UA_2017-02-21-m0.u132	ВЛАСЕНКО С.В.	#СергійВолодимировичВласенко.1967	[Власенко](ParlaMint-UA_2017-02-21-m0.u131.p2.s1.w1) [Сергій](ParlaMint-UA_2017-02-21-m0.u131.p2.s1.w2) Володимирович, будь ласка. 
ParlaMint-UA_2017-02-21-m0.u132	ВЛАСЕНКО С.В.	#СергійВолодимировичВласенко.1967	[Власенко](ParlaMint-UA_2017-02-21-m0.u131.p2.s1.w1) Сергій [Володимирович](ParlaMint-UA_2017-02-21-m0.u131.p2.s1.w3), будь ласка. 
ParlaMint-UA_2017-02-21-m0.u134	МАРКЕВИЧ Я.В.	#ЯрославВолодимировичМаркевич.1973	Я зараз дам слово спочатку "Самопоміч", [Маркевич](ParlaMint-UA_2017-02-21-m0.u133.p2.s1.w10), дві хвилини. 
ParlaMint-UA_2017-02-21-m0.u138	БАТЕНКО Т.І.	#ТарасІвановичБатенко.1974	Будь ласка, [Тарас](ParlaMint-UA_2017-02-21-m0.u137.p2.s1.w4) [Батенко](ParlaMint-UA_2017-02-21-m0.u137.p2.s1.w5). 
ParlaMint-UA_2017-02-21-m0.u138	БАТЕНКО Т.І.	#ТарасІвановичБатенко.1974	[Батенко](ParlaMint-UA_2017-02-21-m0.u137.p3.s4.w1), Кривенко і колеги, давайте будемо на тому. 
ParlaMint-UA_2017-02-21-m0.u140	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	[Кривенко](ParlaMint-UA_2017-02-21-m0.u139.p2.s1.w1), одна хвилина. 
ParlaMint-UA_2017-02-21-m0.u142	МЕЛЬНИЧУК С.П.	#СергійПетровичМельничук.1972	Будь ласка, [Сергій](ParlaMint-UA_2017-02-21-m0.u141.p2.s1.w4) [Мельничук](ParlaMint-UA_2017-02-21-m0.u141.p2.s1.w5). 
ParlaMint-UA_2017-02-21-m0.u146	ПИНЗЕНИК П.В.	#ПавлоВасильовичПинзеник.1976	Запрошую до доповіді Першого заступника голови Комітету з питань Регламенту та організації роботи Верховної Ради України [Пинзеника](ParlaMint-UA_2017-02-21-m0.u145.p9.s1.w17) [Павла](ParlaMint-UA_2017-02-21-m0.u145.p9.s1.w18) Васильовича. 
ParlaMint-UA_2017-02-21-m0.u146	ПИНЗЕНИК П.В.	#ПавлоВасильовичПинзеник.1976	Запрошую до доповіді Першого заступника голови Комітету з питань Регламенту та організації роботи Верховної Ради України [Пинзеника](ParlaMint-UA_2017-02-21-m0.u145.p9.s1.w17) Павла [Васильовича](ParlaMint-UA_2017-02-21-m0.u145.p9.s1.w19). 
ParlaMint-UA_2017-02-21-m0.u148	ЮРЧИШИН П.В.	#ПетроВасильовичЮрчишин.1958	І я запрошую до доповіді голову підкомітету Комітету з питань аграрної політики та земельних відносин [Юрчишина](ParlaMint-UA_2017-02-21-m0.u147.p8.s1.w16) [Петра](ParlaMint-UA_2017-02-21-m0.u147.p8.s1.w17) Васильовича. 
ParlaMint-UA_2017-02-21-m0.u148	ЮРЧИШИН П.В.	#ПетроВасильовичЮрчишин.1958	І я запрошую до доповіді голову підкомітету Комітету з питань аграрної політики та земельних відносин [Юрчишина](ParlaMint-UA_2017-02-21-m0.u147.p8.s1.w16) Петра [Васильовича](ParlaMint-UA_2017-02-21-m0.u147.p8.s1.w18). 
ParlaMint-UA_2017-02-21-m0.u156	КУЖЕЛЬ О.В.	#ОлександраВолодимирівнаКужель.1953	Включіть мікрофон [Кужель](ParlaMint-UA_2017-02-21-m0.u155.p5.s2.w3). 
ParlaMint-UA_2017-02-21-m0.u162	КУЖЕЛЬ О.В.	#ОлександраВолодимирівнаКужель.1953	Будь ласка, [Кужель](ParlaMint-UA_2017-02-21-m0.u161.p2.s1.w4) включіть мікрофон. 
ParlaMint-UA_2017-02-21-m0.u166	КУЖЕЛЬ О.В.	#ОлександраВолодимирівнаКужель.1953	14-а, [Кужель](ParlaMint-UA_2017-02-21-m0.u165.p6.s1.w4). 
ParlaMint-UA_2017-02-21-m0.u175	КУЖЕЛЬ О.В.	#ОлександраВолодимирівнаКужель.1953	Прошу, пані [Олександра](ParlaMint-UA_2017-02-21-m0.u174.p5.s1.w4) [Кужель](ParlaMint-UA_2017-02-21-m0.u174.p5.s1.w5). 
ParlaMint-UA_2017-02-21-m0.u177	БАКУМЕНКО О.Б.	#ОлександрБорисовичБакуменко.1959	Чи буде народний депутат [Бакуменко](ParlaMint-UA_2017-02-21-m0.u176.p2.s2.w5) коментувати? 
ParlaMint-UA_2017-02-21-m0.u183	ЮРЧИШИН П.В.	#ПетроВасильовичЮрчишин.1958	Будь ласка, одну хвилину [Петро](ParlaMint-UA_2017-02-21-m0.u182.p3.s6.w6) [Васильович](ParlaMint-UA_2017-02-21-m0.u182.p3.s6.w7) [Юрчишин](ParlaMint-UA_2017-02-21-m0.u182.p3.s6.w8). 
ParlaMint-UA_2017-02-21-m0.u187	БУРБАК М.Ю.	#МаксимЮрійовичБурбак.1976	Тоді ще хвилина [Бурбак](ParlaMint-UA_2017-02-21-m0.u186.p2.s4.w4), хвилина Тимошенко. 
ParlaMint-UA_2017-02-21-m0.u189	ТИМОШЕНКО Ю.В.	#ЮліяВолодимирівнаТимошенко.1960 #ЮрійВолодимировичТимошенко.1961	Будь ласка, [Тимошенко](ParlaMint-UA_2017-02-21-m0.u188.p2.s1.w4) [Юлія](ParlaMint-UA_2017-02-21-m0.u188.p2.s1.w5) [Володимирівна](ParlaMint-UA_2017-02-21-m0.u188.p2.s1.w6) одна хвилина. 
ParlaMint-UA_2017-02-21-m0.u193	ІВЧЕНКО В.Є.	#ВадимЄвгеновичІвченко.1980	[Івченко](ParlaMint-UA_2017-02-21-m0.u192.p5.s2.w1). 
ParlaMint-UA_2017-02-21-m0.u203	ІВЧЕНКО В.Є.	#ВадимЄвгеновичІвченко.1980	І я ставлю на голосування поправку 13 народного депутата [Івченка](ParlaMint-UA_2017-02-21-m0.u202.p1.s1.w10). 
ParlaMint-UA_2017-02-21-m0.u203	ІВЧЕНКО В.Є.	#ВадимЄвгеновичІвченко.1980	15-а, [Івченко](ParlaMint-UA_2017-02-21-m0.u202.p5.s1.w5). 
ParlaMint-UA_2017-02-21-m0.u207	ІВЧЕНКО В.Є.	#ВадимЄвгеновичІвченко.1980	Колеги, отже, я ставлю на голосування поправку 17 народного депутата [Івченка](ParlaMint-UA_2017-02-21-m0.u206.p2.s1.w13). 
ParlaMint-UA_2017-02-21-m0.u207	ІВЧЕНКО В.Є.	#ВадимЄвгеновичІвченко.1980	Хто підтримує 17 поправку [Івченка](ParlaMint-UA_2017-02-21-m0.u206.p2.s3.w5), прошу проголосувати. 
ParlaMint-UA_2017-02-21-m0.u207	ІВЧЕНКО В.Є.	#ВадимЄвгеновичІвченко.1980	19 правку, будь ласка, [Івченко](ParlaMint-UA_2017-02-21-m0.u206.p5.s2.w7). 
ParlaMint-UA_2017-02-21-m0.u211	ТИМОШЕНКО Ю.В.	#ЮліяВолодимирівнаТимошенко.1960 #ЮрійВолодимировичТимошенко.1961	20-а, [Тимошенко](ParlaMint-UA_2017-02-21-m0.u210.p7.s1.w4). 
ParlaMint-UA_2017-02-21-m0.u219	ТИМОШЕНКО Ю.В.	#ЮліяВолодимирівнаТимошенко.1960 #ЮрійВолодимировичТимошенко.1961	21-а, [Тимошенко](ParlaMint-UA_2017-02-21-m0.u218.p6.s1.w4) [Юлія](ParlaMint-UA_2017-02-21-m0.u218.p6.s1.w5) Володимирівна. 
ParlaMint-UA_2017-02-21-m0.u219	ТИМОШЕНКО Ю.В.	#ЮліяВолодимирівнаТимошенко.1960 #ЮрійВолодимировичТимошенко.1961	21-а, [Тимошенко](ParlaMint-UA_2017-02-21-m0.u218.p6.s1.w4) Юлія [Володимирівна](ParlaMint-UA_2017-02-21-m0.u218.p6.s1.w6). 
ParlaMint-UA_2017-02-21-m0.u223	ТИМОШЕНКО Ю.В.	#ЮліяВолодимирівнаТимошенко.1960 #ЮрійВолодимировичТимошенко.1961	22-а, [Тимошенко](ParlaMint-UA_2017-02-21-m0.u222.p5.s2.w4). 
ParlaMint-UA_2017-02-21-m0.u229	ЛЯШКО О.В.	#ОлегВалерійовичЛяшко.1972	24 поправка, [Олег](ParlaMint-UA_2017-02-21-m0.u228.p6.s3.w4) [Валерійович](ParlaMint-UA_2017-02-21-m0.u228.p6.s3.w5) [Ляшко](ParlaMint-UA_2017-02-21-m0.u228.p6.s3.w6). 
ParlaMint-UA_2017-02-21-m0.u237	ТИМОШЕНКО Ю.В.	#ЮліяВолодимирівнаТимошенко.1960 #ЮрійВолодимировичТимошенко.1961	І я даю ще по тих поправках: [Тимошенко](ParlaMint-UA_2017-02-21-m0.u236.p1.s2.w9) – одна хвилина; Пинзеник – одна хвилина. 
ParlaMint-UA_2017-02-21-m0.u237	ТИМОШЕНКО Ю.В.	#ЮліяВолодимирівнаТимошенко.1960 #ЮрійВолодимировичТимошенко.1961	Будь ласка, [Тимошенко](ParlaMint-UA_2017-02-21-m0.u236.p2.s1.w4) включіть мікрофон. 
ParlaMint-UA_2017-02-21-m0.u240	ТИМОШЕНКО Ю.В.	#ЮліяВолодимирівнаТимошенко.1960 #ЮрійВолодимировичТимошенко.1961	27-а, [Тимошенко](ParlaMint-UA_2017-02-21-m0.u239.p9.s1.w4). 
ParlaMint-UA_2017-02-21-m0.u244	ЛЯШКО О.В.	#ОлегВалерійовичЛяшко.1972	По 28-й – [Олег](ParlaMint-UA_2017-02-21-m0.u243.p2.s2.w4) [Ляшко](ParlaMint-UA_2017-02-21-m0.u243.p2.s2.w5). 
